causal_relationship,sentence
0,"['hypothesised', 'node1', 'likely exhibit higher', 'node2']"
1,"['hypothesised node2 likely influenced', 'node1', 'node2', 'likelyinfluencednode1hencereceptiveinnovativeproductiontechnologygood']"
0,"['hypothesised higher', 'node1', 'likely highly', 'node2']"
1,"['hypothesised', 'node1', 'positive impact', 'node2']"
0,"['result hypothesised lower', 'node1', 'likely', 'node2', 'expectedsignthereforenegative']"
1,"['hypo 1', 'node1', 'positive effect', 'node2']"
0,"['hypo 2', 'node1', 'interact predict', 'node2', 'ceosimultaneouslyachievinghigherlevelhighlycompensated']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
0,"['hypo 2', 'node1', 'positively associated', 'node2']"
1,"['hypo 3 interaction quality-enhancing strategy commitment configuration enhance node2', 'node1', 'node2', 'node1reducenode2']"
1,"['hypo 3', 'node1', 'enhance', 'node2', 'interactionmarketconfigurationreducenode2']"
1,"['hypo 3', 'node1', 'enhance', 'node2']"
1,"['hypo 3', 'node1', 'enhance', 'node2']"
1,"['hypo 3', 'node1', 'enhance', 'node2']"
1,"['hypo 3', 'node1', 'enhance', 'node2']"
1,"['hypo 3', 'node1', 'enhance', 'node2']"
1,"['hypo 3', 'node1', 'enhance', 'node2', 'interactionmarketconfigurationreducenode2']"
1,"['hypo 3 interaction quality-enhancing strategy commitment configuration enhance node2', 'node1', 'node2', 'node1reducenode2']"
1,"['hypo 3', 'node1', 'enhance', 'node2']"
0,"['hypo 1', 'node1', 'positively associated', 'node2', 'negativelyassociatedturnoverrate']"
0,"['hypo 1', 'node1', 'positively associated performance outcome negatively associated', 'node2', 'rate']"
0,"['hypo 2', 'node1', 'signiﬁcantly positively related', 'node2', 'negativelyassociatedturnover']"
0,"['hypo 2', 'node1', 'signiﬁcantly positively related performance outcome negatively associated', 'node2']"
0,"['hypo 3', 'node1', 'positively associated', 'node2', 'negativelystaffturnover']"
0,"['hypo 3', 'node1', 'positively associated performance outcome negatively', 'node2']"
0,"['hypo 3', 'node1', 'positively associated', 'node2', 'negativelystaffturnover']"
0,"['hypo 3', 'node1', 'positively associated performance outcome negatively', 'node2']"
0,"['certain circumstance however slack hypothesis la', 'node1', 'node2', 'negativelyrelated']"
0,"['hypothesis lb', 'node1', 'node2', 'negativelyrelated']"
0,"['hypothesis ic', 'node1', 'node2', 'negativelyrelated']"
0,"['hypo 2', 'node1', 'node2', 'positivelyrelated']"
0,"['hypo 2', 'node1', 'node2', 'negativelyrelated']"
0,"['hypo 2', 'node1', 'node2', 'positivelyrelated']"
0,"['hypo 3', 'node1', 'negatively related', 'node2']"
0,"['hypo 4', 'node1', 'node2', 'positivelyrelated']"
0,"['hypo 1', 'node1', 'measured prestart level education year industry experience positively associated', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 3', 'node1', 'positively related', 'node2']"
1,"['hypo 4', 'node1', 'positive moderator', 'node2']"
1,"['hypo 5', 'node1', 'positive moderator', 'node2']"
1,"['hypo 6', 'node1', 'positive moderator', 'node2']"
1,"['hypo 7', 'node1', 'positive moderator', 'node2']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 3', 'node1', 'positively related', 'node2']"
0,"['hypo 3', 'node1', 'positively related', 'node2']"
1,"['hypo 4', 'node1', 'contributes', 'node2']"
1,"['hypo 4', 'node1', 'contributes', 'node2']"
0,"['hypo 1', 'node1', 'node2', 'positivelyassociatedimpliedeconomicsbasedvoluntarydisclosuretheory']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
1,"['hypo 3', 'node1', 'positive effect', 'node2']"
1,"['hypo 3', 'node1', 'positive effect', 'node2']"
1,"['hypo 3', 'node1', 'positive effect', 'node2']"
1,"['hypo 5', 'node1', 'selection process based interpersonal skill positive inﬂuence', 'node2']"
1,"['hypo 4', 'node1', 'selection process based employee ’ potential learn positive inﬂuence', 'node2']"
1,"['hypo 6', 'node1', 'speciﬁc training career management mentoring programme feedback appraisal positive inﬂuence', 'node2']"
1,"['hypo 7', 'node1', 'empowerment employee ’ participation decision making positive inﬂuence', 'node2']"
1,"['hypo 8', 'node1', 'use individual compensation incentive positive inﬂuence', 'node2']"
1,"['hypo 9', 'node1', 'use team-based incentive compensation positive inﬂuence', 'node2']"
0,"['hypo 1 0', 'node1', 'positively associated higher level', 'node2']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2', 'effectknowledgeexchangecombination']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
0,"['hypo 2', 'node1', 'positively associated', 'node2']"
0,"['hypo 3', 'node1', 'positively associated', 'node2']"
0,"['hypo 4', 'node1', 'positively associated', 'node2']"
0,"['hypo 1 positive statistically signiﬁcant parameter estimate path', 'node1', 'node2', 'providessupport']"
1,"['hypo 3 regarding inﬂuence', 'node1', 'node2', 'alsosupportedparameterestimate']"
0,"['hypo 4 regarding relationship', 'node1', 'node2', 'supportedpositivesigniﬁcantparameterestimatepathinnovative-preventivestrategyperformancepatheco-efﬁciencyperformanceinﬂuencecontrolvariabletestedthreedependentvariablemodel']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
0,"['hypo 2', 'node1', 'negatively associated', 'node2']"
0,"['hypo 1 high', 'node1', 'positively associated', 'node2']"
0,"['hypo 2 high', 'node1', 'positively associated', 'node2']"
1,"['hypo 3', 'node1', 'moderate', 'node2']"
1,"['hypo 3', 'node1', 'moderate', 'node2']"
1,"['hypo 4', 'node1', 'moderate', 'node2']"
1,"['hypo 4', 'node1', 'moderate', 'node2']"
0,"['hypo 1 greater', 'node1', 'greater', 'node2']"
0,"['hypo 2 greater', 'node1', 'greater', 'node2']"
0,"['hypo 4 greater', 'node1', 'greater', 'node2']"
0,"['hypo 6 greater', 'node1', 'greater', 'node2']"
0,"['given node2 measured roa medium reputation coefﬁcient medium favorableness proposition ﬁrms favorable', 'node1', 'node2', 'measuredroamediumreputationcoefﬁcientmediumfavorablenesspropositionﬁrmsfavorablenode1highernode2testedfollowinghypothesishypothesiscoefﬁcientmediumfavorablenesspositivelyrelatedroa']"
0,"['hypo 1', 'node1', 'node2', 'relatedtime-speciﬁc']"
0,"['hypo 2', 'node1', 'node2', 'relatedtime-speciﬁc']"
0,"['hypo 3', 'node1', 'node2', 'relatedtime-speciﬁc']"
0,"['hypo 4', 'node1', 'node2', 'relatedtime-speciﬁc']"
0,"['hypo 5', 'node1', 'node2', 'relatedtime-speciﬁc']"
1,"['hypo 1 predicted', 'node1', 'inﬂuenced', 'node2', 'positivelysigniﬁcantlycoefﬁcientvaluetwoyearshowsigniﬁcantdifferencerelativestrength']"
0,"['hypo 2 assumes stable positive relationship', 'node1', 'node2', 'acrosstime']"
0,"['hypo 1 predicted', 'node1', 'node2', 'relatedtime-speciﬁc']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 3 predicted', 'node1', 'node2', 'relatedtime-speciﬁc']"
0,"['hypo 4 predicted', 'node1', 'node2', 'relatedtime-speciﬁc']"
0,"['hypo 5 predicted', 'node1', 'node2', 'relatedtime-speciﬁc']"
0,"['hypo 1 positive relationship', 'node1', 'node2']"
0,"['hypo 2 relationship', 'node1', 'node2']"
0,"['hypo 3 positive relationship', 'node1', 'node2']"
0,"['hypo 4 negative relationship', 'node1', 'node2']"
0,"['hypo 5', 'node1', 'disclose le', 'node2', 'websitecorporation']"
1,"['hypo 1 setting requiring high level knowledge exploitation', 'node1', 'average negative effect', 'node2']"
1,"['hypo 2 setting requiring high level level process conforknowledge exploitation', 'node1', 'moderate', 'node2', 'node1']"
1,"['hypo 1 using', 'node1', 'rate prior three month average node1 negative effect', 'node2']"
0,"['hypo 1 among small u ﬁrms negative association use', 'node1', 'node2']"
0,"['hypo 2 among small u ﬁrms positive association use', 'node1', 'node2']"
0,"['hypo 1 result indicate negative association', 'node1', 'node2']"
1,"['little research utilized rigorous design test hypothesis employing', 'node1', 'actually result higher', 'node2', 'causalsense']"
1,"['although clearly true test spurious variable hypothesis ﬁndings suggest', 'node1', 'concurrently drove', 'node2']"
1,"['one would hard pressed hypothesize', 'node1', 'produce greater', 'node2']"
0,"['hypo 1', 'node1', 'negatively associated', 'node2', 'withintopmanagementteam']"
0,"['hypo 2', 'node1', 'positively associated', 'node2', 'withintopmanagementteam']"
0,"['hypo 3', 'node1', 'positively associated', 'node2', 'withintopmanagementteam']"
0,"['hypo 4', 'node1', 'positively associated', 'node2']"
0,"['hypotheis 4b', 'node1', 'negatively associated', 'node2']"
0,"['hypo 4', 'node1', 'negatively associated', 'node2']"
0,"['hypo 4', 'node1', 'negatively associated', 'node2', 'withintopmanagementteam']"
0,"['hypo 5', 'node1', 'negatively associated', 'node2']"
0,"['hypo 5', 'node1', 'positively associated', 'node2']"
0,"['hypo 5', 'node1', 'positively associated', 'node2']"
0,"['hypo 5', 'node1', 'positively associated', 'node2', 'withintopmanagementteam']"
0,"['hypo 6', 'node1', 'positively associated', 'node2']"
0,"['hypo 6 6', 'node1', 'positively associated', 'node2', 'withintopmanagementteam']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 3', 'node1', 'positively related', 'node2']"
0,"['hypo 1 stated', 'node1', 'would positively related', 'node2']"
0,"['hypo 2 stated', 'node1', 'would positively related', 'node2']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'increase', 'node2']"
0,"['hypo 2', 'node1', 'increase', 'node2']"
0,"['hypo 2', 'node1', 'increase', 'node2']"
1,"['hypo 2 predicts', 'node1', 'positively moderate', 'node2']"
1,"['hypo 1', 'node1', 'lead positive effect', 'node2']"
1,"['hypo 2', 'node1', 'lead positive effect', 'node2']"
0,"['hypo 1 proposes positive association', 'node1', 'node2']"
1,"['hypo 2 suggests', 'node1', 'also positive direct impact', 'node2', 'turninsigniﬁcantevenshownegativedirection']"
1,"['hence hypothesis', 'node1', 'positive effect', 'node2', 'stronglysupported']"
1,"['hypo 1', 'node1', 'moderate', 'node2', 'wayworkplaceextensivehigh-involvementworkpracticesuffergreatereffectnode1workplaceleextensivehighinvolvementworkpractice']"
1,"['result provide support hypothesized interaction suggesting', 'node1', 'threaten', 'node2', 'peopleconductinglayoff']"
0,"['hypo 1', 'node1', 'positively inﬂuence', 'node2']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
1,"['hypo 2', 'node1', 'impact signiﬁcantly', 'node2']"
1,"['hypo 2', 'node1', 'impact signiﬁcantly', 'node2']"
1,"['hypo 2', 'node1', 'impact signiﬁcantly', 'node2']"
1,"['hypo 2', 'node1', 'impact signiﬁcantly', 'node2']"
0,"['hypo 3 smes high-pollution level', 'node1', 'positively associated', 'node2']"
0,"['hypo 3 smes light-pollution level', 'node1', 'positively associated', 'node2']"
1,"['hypo 1', 'node1', 'lead', 'node2']"
1,"['hypo 2', 'node1', 'lead', 'node2']"
1,"['hypo 3', 'node1', 'lead', 'node2']"
1,"['hypo 4', 'node1', 'lead', 'node2']"
1,"['hypo 5 node2 signiﬁcantly higher', 'node1', 'node2', 'signiﬁcantlyhighernode1highratherlow']"
1,"['hypo 5 node2 signiﬁcantly higher', 'node1', 'node2', 'signiﬁcantlyhighernode1highratherlow']"
1,"['hypo 5 node2 signiﬁcantly higher', 'node1', 'node2', 'signiﬁcantlyhighernode1highratherlow']"
0,"['hypo 1', 'node1', 'also positively signiﬁcantly related', 'node2']"
0,"['hypo 2 however', 'node1', 'negatively related', 'node2', 'contradicted']"
0,"['hypo 2', 'node1', 'positively signiﬁcantly related', 'node2']"
0,"['hypo 3 focusing external technological source', 'node1', 'positively significantly related', 'node2']"
0,"['hypo 4', 'node1', 'signiﬁcantly negatively associated', 'node2', 'contradicting']"
0,"['hypo 4', 'node1', 'positive nonsigniﬁcant sign', 'node2', 'alsocontradicting']"
0,"['hypo 5 suggested node2 signiﬁcantly higher higher lower', 'node1', 'node2', 'signiﬁcantlyhigherhigherlowernode1']"
0,"['hypo 5 suggested node2 signiﬁcantly higher higher lower', 'node1', 'node2', 'signiﬁcantlyhigherhigherlowernode1']"
0,"['hypo 5 posited node2 would signiﬁcantly higher', 'node1', 'node2', 'wouldsigniﬁcantlyhighernode1highlow']"
0,"['hypo 5 suggested node2 tc would signiﬁcantly higher', 'node1', 'node2', 'tcwouldsigniﬁcantlyhighernode1highratherlow']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 3', 'node1', 'positively related', 'node2']"
1,"['hypo 4', 'node1', 'moderate', 'node2', 'perceivedcsrpositivelyaffectfirmreputationleaderdisplaystrongweakethicaldisplaystrongweaknode1']"
1,"['based hypothesis logical predict', 'node1', 'indirect effect', 'node2']"
1,"['hypo 5', 'node1', 'moderate', 'node2']"
1,"['hypo 6', 'node1', 'moderate', 'node2']"
0,"['hypo 4 strong ethical leadership', 'node1', 'positively related', 'node2', 'weakethicalleadershiptworelated']"
0,"['hypo 1', 'node1', 'likely type ﬁrms', 'node2']"
0,"['hypo 2', 'node1', 'likely', 'node2']"
0,"['hypo 2 node2 stronger', 'node1', 'node2', 'strongernode1']"
0,"['hypo 3', 'node1', 'le likely', 'node2']"
0,"['hypo 3 node2 weaker', 'node1', 'node2', 'weakernode1']"
0,"['hypo 4', 'node1', 'likely', 'node2']"
1,"['hypo 4 node2 enhanced', 'node1', 'node2', 'enhancednode1']"
0,"['hypo 5', 'node1', 'likely engage', 'node2']"
0,"['hypo 6', 'node1', 'likely engage', 'node2']"
1,"['hypo 1', 'node1', 'positively impact', 'node2']"
1,"['hypo 1 1', 'node1', 'positively impact', 'node2']"
1,"['hypo 1 2', 'node1', 'positively impact', 'node2']"
1,"['hypo 1 3', 'node1', 'positively impact', 'node2']"
1,"['hypo 1 4', 'node1', 'positively impact', 'node2']"
1,"['hypo 1 5', 'node1', 'positively impact', 'node2']"
1,"['hypo 1 6', 'node1', 'positively impact', 'node2', 'firstﬁrmslistedstockexchangetenddisclosecsrrelatedinformationcomparednon-listedﬁrmsperformancelistedﬁrmscontinuouslymonitoredevaluatedmultiplestakeholderinvestorﬁnancialanalysthighermediumlike']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 1', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 1', 'node1', 'pay higher', 'node2']"
0,"['hypo 2', 'node1', 'node2']"
1,"['hypo 1', 'node1', 'influence', 'node2']"
0,"['hypo 1', 'node1', 'provide le', 'node2', 'americanbritishjapaneserms']"
0,"['hypo 1', 'node1', 'rely', 'node2', 'localchinesejapanese\x05rms']"
0,"['hypo 1', 'node1', 'emphasize', 'node2', 'americanbritish\x05rms']"
0,"['hypo 1', 'node1', 'le', 'node2', 'japaneseamericanbritishrms']"
0,"['hypo 2', 'node1', 'related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 2', 'node1', 'better', 'node2']"
0,"['hypo 2', 'node1', 'higher', 'node2', 'particularlynewproductdevelopment']"
0,"['hypo 1', 'node1', 'higher', 'node2', 'firmlecomprehensivebundle']"
0,"['hypo 1', 'node1', 'le likely generate', 'node2', 'firmposseasset']"
0,"['hypo 1', 'node1', 'le likely generate', 'node2', 'firmposseasset']"
0,"['hypo 2', 'node1', 'likely generate', 'node2', 'firmposseasset']"
0,"['hypo 2', 'node1', 'likely generate', 'node2', 'firmposseasset']"
0,"['hypo 3', 'node1', 'experience positive', 'node2', 'firmposseeitherhighreputationcelebrity']"
0,"['hypo 3', 'node1', 'experience positive', 'node2', 'firmposseeithercelebrityhighreputation']"
0,"['hypo 4', 'node1', 'experience le', 'node2', 'firmposseeitherhighreputationcelebrity']"
0,"['hypo 4', 'node1', 'experience le', 'node2', 'firmposseeithercelebrityhighreputation']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 1 high', 'node1', 'associated enhanced', 'node2']"
0,"[""hypo 2 level industry 's growth moderate relationship environmental performance profitability firm industry greater"", 'node1', 'greater', 'node2']"
0,"['hypo 1 positive association', 'node1', 'node2']"
0,"['hypo 2 positive association', 'node1', 'node2']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
0,"['hypo 2', 'node1', 'negatively associated', 'node2']"
0,"['hypo 3', 'node1', 'positively associated', 'node2']"
0,"['hypo 4', 'node1', 'negatively associated', 'node2']"
0,"['hypo 1 negative relationship', 'node1', 'node2']"
0,"['hypo 1 significant negative relationship', 'node1', 'node2']"
0,"['hypo 1', 'node1', 'negatively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
0,"['hypo 1', 'node1', 'positively associated', 'node2']"
0,"['hypo 2', 'node1', 'positively associated', 'node2']"
0,"['hypo 1 among high-performing technology-based venture', 'node1', 'signiﬁcantly related', 'node2']"
0,"['hypo 3', 'node1', 'signiﬁcantly related', 'node2']"
0,"['hypo 1', 'node1', 'negatively related', 'node2']"
0,"['hypo 2', 'node1', 'positively related', 'node2']"
0,"['hypo 1', 'node1', 'better', 'node2', 'plantcontrolhumanresourcesystem']"
0,"['hypo 2', 'node1', 'higher', 'node2', 'commitmenthumanresourcesystem']"
0,"['hypo 3 stronger negative node2', 'node1', 'node2', 'node1controlhumanresourcesystem']"
0,"['hypo 1 predicts', 'node1', 'related significantly higher', 'node2', 'presencecontrolsystem']"
0,"['second hypothesis predicts', 'node1', 'higher', 'node2', 'commitmentsystem']"
1,"['hypo 3 state node2 higher', 'node1', 'node2', 'highernode1controlsystem']"
1,"['hypo 1 increased use', 'node1', 'result increased', 'node2', 'decreasedvoluntaryemployeeturnover']"
